host_name,src_mac,dest_port,type,network_transport,bytes_in,data_exfil,fn,ext,src_ip-1,src_ip-2,src_ip-3,src_ip-4
webserver,02:42:0a:00:00:13,53,DNS,UDP,0.0,1,Y6zXOsOSJdMpYhFscEcLR6kglMuIeIegnGVcJu*ByGJFG64MAcSrEsH7c.gJJOCA5tavYRqhpOV21*IgoWOVZTau6BcWbyqCj6Ae3fe180i2P3PDAm2.8bdjvOondp9P*BuGuFzQWlpdYlvNi7QBLTBwSZFqGH*3RdloLBBn/4gv7.FhbH5swGv4/BFfKfnDiydbAXvsrrV3PaLU4HSRM6dI8uWyt6Xo003ncGg,py,172,17,0,2
webserver,02:42:0a:00:00:13,53,DNS,UDP,0.0,1,Y6zXOsOSJdMpYhFscEcLR6kglMuIeIegnGVcJu*ByGJFG64MAcSrEsH7c.gJJOCA5tavYRqhpOV21*IgoWOVZTau6BcWbyqCj6Ae3fe180i2P3PDAm2.8bdjvOondp9P*BuGuFzQWlpdYlvNi7QBLTBwSZFqGH*3RdloLBBn/4gv7.FhbH5swGv4/BFfKfnDiydbAXvsrrV3PaLU4HSRM6dI8uWyt6Xo003ncGg,py,172,17,0,2
webserver,02:42:0a:00:00:13,53,DNS,UDP,0.0,1,Y6zXOsOSJdMpYhFscEcLR6kglMuIeIegnGVcJu*ByGJFG64MAcSrEsH7c.gJJOCA5tavYRqhpOV21*IgoWOVZTau6BcWbyqCj6Ae3fe180i2P3PDAm2.8bdjvOondp9P*BuGuFzQWlpdYlvNi7QBLTBwSZFqGH*3RdloLBBn/4gv7.FhbH5swGv4/BFfKfnDiydbAXvsrrV3PaLU4HSRM6dI8uWyt6Xo003ncGg,py,172,17,0,2
webserver,02:42:0a:00:00:13,53,DNS,UDP,0.0,1,PF4KiSConVLxglvGXpciRZipsu2xUavWrBITZul7nbl/gZ9dfSb4jmdH9.e707vqPaDp7GF99C6sG3rJkP818qEFgW/UIbOuE4a6g7XQDX6lNYfJpd1.tSoSJhoTRfGdTBEt8Cy0DsGY3dC8LwCA5Lszi*ONxjvaVeMRWbD88JTFb.Rb*1RIhChTHia7pHBtxgL06KiB1xYwqjKvpWHGhV/P8Gfks*pCBvMsC4p,py,172,17,0,2
webserver,02:42:0a:00:00:13,53,DNS,UDP,0.0,1,PF4KiSConVLxglvGXpciRZipsu2xUavWrBITZul7nbl/gZ9dfSb4jmdH9.e707vqPaDp7GF99C6sG3rJkP818qEFgW/UIbOuE4a6g7XQDX6lNYfJpd1.tSoSJhoTRfGdTBEt8Cy0DsGY3dC8LwCA5Lszi*ONxjvaVeMRWbD88JTFb.Rb*1RIhChTHia7pHBtxgL06KiB1xYwqjKvpWHGhV/P8Gfks*pCBvMsC4p,py,172,17,0,2
webserver,02:42:0a:00:00:13,53,DNS,UDP,0.0,1,PF4KiSConVLxglvGXpciRZipsu2xUavWrBITZul7nbl/gZ9dfSb4jmdH9.e707vqPaDp7GF99C6sG3rJkP818qEFgW/UIbOuE4a6g7XQDX6lNYfJpd1.tSoSJhoTRfGdTBEt8Cy0DsGY3dC8LwCA5Lszi*ONxjvaVeMRWbD88JTFb.Rb*1RIhChTHia7pHBtxgL06KiB1xYwqjKvpWHGhV/P8Gfks*pCBvMsC4p,py,172,17,0,2
webserver,02:42:0a:00:00:13,53,DNS,UDP,0.0,1,PF4KiSConVLxglvGXpciRZipsu2xUavWrBITZul7nbl/gZ9dfSb4jmdH9.e707vqPaDp7GF99C6sG3rJkP818qEFgW/UIbOuE4a6g7XQDX6lNYfJpd1.tSoSJhoTRfGdTBEt8Cy0DsGY3dC8LwCA5Lszi*ONxjvaVeMRWbD88JTFb.Rb*1RIhChTHia7pHBtxgL06KiB1xYwqjKvpWHGhV/P8Gfks*pCBvMsC4p,py,172,17,0,2
webserver,02:42:0a:00:00:13,53,DNS,UDP,0.0,1,PF4KiSConVLxglvGXpciRZipsu2xUavWrBITZul7nbl/gZ9dfSb4jmdH9.e707vqPaDp7GF99C6sG3rJkP818qEFgW/UIbOuE4a6g7XQDX6lNYfJpd1.tSoSJhoTRfGdTBEt8Cy0DsGY3dC8LwCA5Lszi*ONxjvaVeMRWbD88JTFb.Rb*1RIhChTHia7pHBtxgL06KiB1xYwqjKvpWHGhV/P8Gfks*pCBvMsC4p,py,172,17,0,2
webserver,02:42:0a:00:00:13,53,DNS,UDP,0.0,1,PF4KiSConVLxglvGXpciRZipsu2xUavWrBITZul7nbl/gZ9dfSb4jmdH9.e707vqPaDp7GF99C6sG3rJkP818qEFgW/UIbOuE4a6g7XQDX6lNYfJpd1.tSoSJhoTRfGdTBEt8Cy0DsGY3dC8LwCA5Lszi*ONxjvaVeMRWbD88JTFb.Rb*1RIhChTHia7pHBtxgL06KiB1xYwqjKvpWHGhV/P8Gfks*pCBvMsC4p,py,172,17,0,2
webserver,02:42:0a:00:00:13,53,DNS,UDP,0.0,1,eSnNlk69HVHwinzsidicnfbPm2O8XMG1fs1VYkXqsd9CWVUfk6glVC2x6.jeol0Mnz5OkPm3RswNagOMMfmz48hOOC/ixa/unP1WhKZWM4jxBMpRrpl.faYBbU1v1h7lcsNuVH0PfJq2JTQpqg98*vT/D7VrZ8HpNfet4ephr3qB4./wVgp0hvLSg8VJszqNMVz9Y0cOiMHr/dLqMWz5OkaC05ituQGHqlKIoNv,py,172,17,0,2
