"@timestamp","host.name","source.ip","destination.ip","related.ip","network.type","bytes_in","bytes_out",type,"dns.question.registered_domain","dns.question.top_level_domain",query,"source.port","destination.port",status
"Oct 25, 2022 @ 01:26:17.238",confluence,"10.0.0.3","10.0.0.5","10.0.0.3, 10.0.0.5",ipv4,288B,304B,dns,"tar.gz",gz,"class IN, type A, l3SEVDiqwHt3O56Mw1qqCqAWYBVr6gFraA/ojo/a*dnbd7jdppcIwsaR2-.A5mdpPhGMLsUWhBGRx2qaPLWPwNn/1vOwHxEWaUcM4odfFHiFBC6EcOar-.ry9rOMFvaY84/sUOuhcg89/5V*fjyxHt7PJ2tf73QTyp72nB9Pdt3A7FX-.2td3P6UuQpFE4XwGE01fBzXgeBnbj*nZc5/Tee798eu/WfXTFKGO034Sj-.data.tar.gz",39120,53,OK
"Oct 25, 2022 @ 01:26:17.219",confluence,"10.0.0.3","10.0.0.5","10.0.0.3, 10.0.0.5",ipv4,288B,304B,dns,"tar.gz",gz,"class IN, type A, O6p61pz*ydzp6Wxi7PmPJyUq*nISgusW6Plqt85VWPeF9swgDK*dZOeE8-.84eHFQPxHrEbQPuja6trjWJ3ZfjxeVyUA1E7Kk7qfNQB6hYRJy3E21Fdl-.on5PP5GCS7ejOk4BJAtYndV2YeXi9rqS*ogmvjvw5qkuANuJrEzh5x712-.C3qilshbaaBnUAuttvOHHqwXWxcSOtFSXi4vFfDyrp4dd/G1pQ5vaRDaF-.data.tar.gz",50608,53,OK
"Oct 25, 2022 @ 01:26:17.199",confluence,"10.0.0.3","10.0.0.5","10.0.0.3, 10.0.0.5",ipv4,288B,304B,dns,"tar.gz",gz,"class IN, type A, 6UklEF*H4XSibwZLiJPBRFeC9c04WN5VZvDscjYY0EogokvNMYkzdleC8-.x6ka2Y3NRZDqSbJ3*vbRJpLy3BStaboAZVTvje9v3BexvOnzuvzal0KIH-.0L/0DZVYZzEVuMyqA*19HYc15AHO683CyiPyAGeTsT4u6Qsy9hNF7YfxD-.JT2yJ7mwFgUtvX7n*wXkTGAdKGOdS35jEzoUTUBvpovGpXvQcmzU*6p3F-.data.tar.gz",50165,53,OK
"Oct 25, 2022 @ 01:26:17.169",confluence,"10.0.0.3","10.0.0.5","10.0.0.3, 10.0.0.5",ipv4,288B,304B,dns,"tar.gz",gz,"class IN, type A, xGwdjBtQSZmj4nJIwazC8ZeHkI*DVOzXp7WNh861jJzIeHOzSHr8MD6Kz-.vaDwIByAt1pD7OLFyjal1LCNrLgPPApQfr9v/88efw7j/3bnmH39rXzb2-.YVOd*bkblbV*t//*N/mqahPAv/6/HQ/7u6/HwFxhgk4O2688Qtn0L8pwP-.vvZjNsfPtOd8evgpCBPqpG39KA7GLRp2Lr15UAvP5JLwdjsGpqALkfL6c-.data.tar.gz",49738,53,OK
"Oct 25, 2022 @ 01:26:17.147",confluence,"10.0.0.3","10.0.0.5","10.0.0.3, 10.0.0.5",ipv4,288B,304B,dns,"tar.gz",gz,"class IN, type A, HTmrcOnYHEYGtKffS8a/X/3l1cs/v7o//M1d2VXUrktBUnIWD3*PvD6zA-.9uno3u0nNqx7tOOPrVj3KfzSHeuzapjPQ6MsDq1I92nozAcTUzHdilQ4a-.eH8dt1MYS5yboYjrL49e11ivCLXoyRSMIoJYie03OLlMI/oggSnwskiKv-.cV4KJ85iKeFPCffrrHpKG6udk2XM6IHDQQd5*9ba2HR/lUQdhvYhDe4TG-.data.tar.gz",48292,53,OK
"Oct 25, 2022 @ 01:26:17.128",confluence,"10.0.0.3","10.0.0.5","10.0.0.3, 10.0.0.5",ipv4,288B,304B,dns,"tar.gz",gz,"class IN, type A, zh7cs4dGNV2rt3Mz0/P4XKUwVeNOt9s9y3c1PyTe5YfN8Xa2bCGM*6/jf-.6F6V4fvAbowE*Mt4lG1dIXOZAUAo/g26Ip0mVWBH1z*/dxX4wPdwAYVjb-.c9S*r*PKV0UzynZNZQpW9caj*8vVc6Hjm0a5agEZ0w6J78EPPPwi5DR/n-.S4Y2ZF71bsgr*7HrUKwpC0vFIENQVcD8cTMw0*tQZLBcbD9Bi0sHqVq8c-.data.tar.gz",40593,53,OK
"Oct 25, 2022 @ 01:26:17.107",confluence,"10.0.0.3","10.0.0.5","10.0.0.3, 10.0.0.5",ipv4,288B,304B,dns,"tar.gz",gz,"class IN, type A, ZY*j3QQaNkjsOZu8KT07QdlfBtdBeBs4nzlv35/3M8dDwL0fLl59348Xd-.H7mvHzz7bcvvoMyNuC0B0c4nckuOmVTiRwVHT4qOswyiUku77XQj9jl8J-./4qQcB8fTDMhjfPfMuk8n3nndpDx9YhNfPe5tw2UkWYPnxbHG6ivMQzrS-.K8ImJzq3iXg6fh2rZELotj5*Csbk2JMcVGUKOhw6jHj9i7TDNZ*ZBaSmB-.data.tar.gz",36439,53,OK
"Oct 25, 2022 @ 01:26:17.084",confluence,"10.0.0.3","10.0.0.5","10.0.0.3, 10.0.0.5",ipv4,288B,304B,dns,"tar.gz",gz,"class IN, type A, gGziHuvyDl4OlsFiiXMh5bOpCG55gBtOPRmUfGR/TuqcC6hW0ZJ1dR1Zk-.1SpHUaV43Yxr1QRr57cjOo*u6rDqixdRNQkXUTUKl2kqEdWhFYboGqyCn-.Dq0ICkdjHdg1hdVkmNsqo2TCvZvR*CCB5xbSoDYNXcFluI1ZthC6tyMzD-.6WKaRLilkG0CrmW0VIQKxD8Ks3h5bgI*E9QB5dbTuk0AV0VWlx1qYOysu-.data.tar.gz",35600,53,OK
"Oct 25, 2022 @ 01:26:17.056",confluence,"10.0.0.3","10.0.0.5","10.0.0.3, 10.0.0.5",ipv4,288B,304B,dns,"tar.gz",gz,"class IN, type A, zfDr0uz1TaDF2yNtZLs/oeUMdGQyQwP2ru/4ZmYCeDUMHHsWn*s8*2PfI-.V35/DPnMrw1N2beOyn3bhrze5OxCRYohoO6mPFdSDYDa8cOZmIHK5ClHm-.JOshRtOTcFaHpxJnOHdnmXrb9yAaWZyg*D*VfbzH88BMZunlpGzqWeDDs-.b2vwyxD0IbptLvSK02gAtgzgF/VPh8Hq5xWvlFq*tksvZaK79igIqNgL6-.data.tar.gz",35641,53,OK
"Oct 25, 2022 @ 01:26:17.035",confluence,"10.0.0.3","10.0.0.5","10.0.0.3, 10.0.0.5",ipv4,288B,304B,dns,"tar.gz",gz,"class IN, type A, PFHTiW4GHiviuVzG7E2vBwq88pTTqBqn2yzV7ocLS*MHHfjwawE0PI735-.ADv3UO859wdIEOwRwf*bjNQ5ss6m6G91vJprHd5qtkPWM5izc6VNkoMB2-.vNnl7rtWZPr1VJzS7p/y/N7nKeMr*6ZqcUay7FYzR7Abt/a5p9w2WKKmp-.24DF4Kv5GsyfX6GGVUpLTbZbqp6qXNe8PWdXDmt0lQ2LcHc2esF1vNHs9-.data.tar.gz",59517,53,OK
"Oct 25, 2022 @ 01:26:17.011",confluence,"10.0.0.3","10.0.0.5","10.0.0.3, 10.0.0.5",ipv4,288B,304B,dns,"tar.gz",gz,"class IN, type A, Hd8M9XKycJ4Z0KIQNj53QDD6p*8wdtWHC1v8pAS3JUm5LQu5Tbi4z25q2-.T2MP8pLWE2k1p4yA*VbViPLX5TyF1fgL87yF/*K*Ku6hGLLX/AqniDN3G-.UDMWRIMR1L8/paSowsi9fXQnKUL81cusLZ/pa53MZATszw*McBmY6fR5t-.fw*3PljKf0ZT5qrJwG04k4uiwcJdi9z6vD8r3DqPby2WRcBnjQi5jxAtk-.data.tar.gz",54614,53,OK
"Oct 25, 2022 @ 01:26:16.990",confluence,"10.0.0.3","10.0.0.5","10.0.0.3, 10.0.0.5",ipv4,288B,304B,dns,"tar.gz",gz,"class IN, type A, b5xpNOrHz5*l0zEuwl0sZI8IDqGleN5zbGzR95D9UOOA/*/pyaTPlZOa7-.f4K2tncjRd95GjUF8PhUEotBmoI13h77bvS0WTnWsI17UsH*vM06lNnNh-.v7fexKUMDc2fxWBCoAF4woplxBFHfsJXJG8f9NchElX8P02yQPo1F6N/m-.GmKX/zKrr5w5Ytl2IVpT6abucWi6eWk5BrUz/NJa6OPSx9wHT4Krvx*Pi-.data.tar.gz",33340,53,OK
"Oct 25, 2022 @ 01:26:16.971",confluence,"10.0.0.3","10.0.0.5","10.0.0.3, 10.0.0.5",ipv4,288B,304B,dns,"tar.gz",gz,"class IN, type A, X*erM2jgvC67BmfuwCKAaC42unvrd9mCL2LtdgI6K0mBMhovOnZoM/6R*-.8ZjynbSQ44f*0an42uoXvCoN623auq2khZ/6pDr6UFfsWzJ7tTn0XIKPE-./WRK5Vzk42r45dELargx6vbizspKBvBrG2z7NtXUB0skl/Y*nOq9pT3P6-.XNr9MfBos*Prv3v3VeWYXZJ5Fy*fZICNOueOAUUwijMVqZvoXf714*eKb-.data.tar.gz",37620,53,OK
"Oct 25, 2022 @ 01:26:16.952",confluence,"10.0.0.3","10.0.0.5","10.0.0.3, 10.0.0.5",ipv4,288B,304B,dns,"tar.gz",gz,"class IN, type A, B2JwaRHEk7SDzuzZ2uMg6oTRaNxJzmKMN2*DWpkav5M*PoufdK/N6iTdo-.b89tjE17EN8JuiZNzwjWGOu6ZB6WBKuNWNDRQ3zyJAzTwmMtVaux7jUyv-.gDn2M/T8KmBrwI66l2bYi45xscdjsOZQArwtQAyIT4ro15OuNgGDaA4l5-.6*Q/rIvHj/aHHBgjIQTpbneQl1Xg/DvzwNjqb6L/b22dROFzcgjaPzqbQ-.data.tar.gz",37750,53,OK
