"@timestamp","source.ip","source.port","destination.ip","destination.port","network.packets","source.packets","destination.packets","network.bytes","source.bytes","destination.bytes","event.dataset"
"Oct 24, 2022 @ 02:11:10.001","172.18.0.3",56352,"172.18.0.2",22,136,82,54,"12.9KB","6.5KB","6.4KB",flow
"Oct 24, 2022 @ 02:11:00.004","172.18.0.3",56352,"172.18.0.2",22,33,21,12,"3.2KB","1.8KB","1.4KB",flow
"Oct 24, 2022 @ 02:10:50.004","172.18.0.3",56352,"172.18.0.2",22,726,436,290,"77.8KB","36.1KB","41.7KB",flow
"Oct 24, 2022 @ 02:10:40.002","172.18.0.3",56352,"172.18.0.2",22,726,436,290,"77.8KB","36.1KB","41.7KB",flow
"Oct 24, 2022 @ 02:10:30.004","172.18.0.3",56352,"172.18.0.2",22,726,436,290,"77.8KB","36.1KB","41.7KB",flow
"Oct 24, 2022 @ 02:10:20.003","172.18.0.3",56352,"172.18.0.2",22,726,436,290,"77.8KB","36.1KB","41.7KB",flow
"Oct 24, 2022 @ 02:10:10.005","172.18.0.3",56352,"172.18.0.2",22,726,436,290,"77.8KB","36.1KB","41.7KB",flow
"Oct 24, 2022 @ 02:10:00.004","172.18.0.3",56352,"172.18.0.2",22,726,436,290,"77.8KB","36.1KB","41.7KB",flow
"Oct 24, 2022 @ 02:09:50.004","172.18.0.3",56352,"172.18.0.2",22,359,230,129,"36.8KB","18.9KB","17.9KB",flow
"Oct 24, 2022 @ 02:09:40.004","172.18.0.3",56352,"172.18.0.2",22,290,185,105,"30.7KB","15.2KB","15.5KB",flow
"Oct 24, 2022 @ 02:09:30.003","172.18.0.3",56352,"172.18.0.2",22,232,147,85,"25.4KB",12KB,"13.4KB",flow
"Oct 24, 2022 @ 02:09:20.002","172.18.0.3",56352,"172.18.0.2",22,190,119,71,"21.6KB","9.7KB","11.9KB",flow
"Oct 24, 2022 @ 02:09:10.004","172.18.0.3",56352,"172.18.0.2",22,103,62,41,"13.4KB","4.9KB","8.5KB",flow
"Oct 24, 2022 @ 02:09:00.004","172.18.0.3",56352,"172.18.0.2",22,62,35,27,"9.7KB","2.7KB",7KB,flow
"Oct 24, 2022 @ 02:08:50.002","172.18.0.3",56352,"172.18.0.2",22,62,35,27,"9.7KB","2.7KB",7KB,flow
"Oct 24, 2022 @ 02:08:40.002","172.18.0.3",56352,"172.18.0.2",22,40,21,19,"4.3KB","1.5KB","2.8KB",flow
"Oct 24, 2022 @ 02:08:30.004","172.18.0.3",56352,"172.18.0.2",22,40,21,19,"4.3KB","1.5KB","2.8KB",flow
"Oct 24, 2022 @ 02:08:20.002","172.18.0.3",56352,"172.18.0.2",22,40,21,19,"4.3KB","1.5KB","2.8KB",flow
"Oct 24, 2022 @ 02:08:10.002","172.18.0.3",56352,"172.18.0.2",22,40,21,19,"4.3KB","1.5KB","2.8KB",flow
"Oct 24, 2022 @ 02:08:00.002","172.18.0.3",56352,"172.18.0.2",22,38,20,18,"4.1KB","1.4KB","2.7KB",flow
"Oct 24, 2022 @ 02:07:50.004","172.18.0.3",56352,"172.18.0.2",22,3,2,1,324B,196B,128B,flow
"Oct 24, 2022 @ 02:05:50.003","172.18.0.3",56352,"172.18.0.2",22,24,16,8,"2.2KB","1.3KB",864B,flow
"Oct 24, 2022 @ 02:05:40.001","172.18.0.3",56352,"172.18.0.2",22,24,16,8,"2.2KB","1.3KB",864B,flow
"Oct 24, 2022 @ 02:05:30.004","172.18.0.3",56352,"172.18.0.2",22,24,16,8,"2.2KB","1.3KB",864B,flow
"Oct 24, 2022 @ 02:05:20.003","172.18.0.3",56352,"172.18.0.2",22,24,16,8,"2.2KB","1.3KB",864B,flow
"Oct 24, 2022 @ 02:05:10.004","172.18.0.3",56352,"172.18.0.2",22,24,16,8,"2.2KB","1.3KB",864B,flow
"Oct 24, 2022 @ 02:05:00.002","172.18.0.3",56352,"172.18.0.2",22,24,16,8,"2.2KB","1.3KB",864B,flow
"Oct 24, 2022 @ 02:04:50.003","172.18.0.3",56352,"172.18.0.2",22,470,309,161,"43.5KB","25.7KB","17.7KB",flow
"Oct 24, 2022 @ 02:04:40.002","172.18.0.3",56352,"172.18.0.2",22,470,309,161,"43.5KB","25.7KB","17.7KB",flow
"Oct 24, 2022 @ 02:04:30.002","172.18.0.3",56352,"172.18.0.2",22,470,309,161,"43.5KB","25.7KB","17.7KB",flow
"Oct 24, 2022 @ 02:04:20.003","172.18.0.3",56352,"172.18.0.2",22,470,309,161,"43.5KB","25.7KB","17.7KB",flow
"Oct 24, 2022 @ 02:04:10.004","172.18.0.3",56352,"172.18.0.2",22,470,309,161,"43.5KB","25.7KB","17.7KB",flow
"Oct 24, 2022 @ 02:04:00.001","172.18.0.3",56352,"172.18.0.2",22,463,305,158,"42.8KB","25.4KB","17.4KB",flow
"Oct 24, 2022 @ 02:03:50.002","172.18.0.3",56352,"172.18.0.2",22,377,248,129,"34.9KB","20.7KB","14.2KB",flow
"Oct 24, 2022 @ 02:03:40.004","172.18.0.3",56352,"172.18.0.2",22,305,200,105,"28.3KB","16.6KB","11.6KB",flow
"Oct 24, 2022 @ 02:03:30.004","172.18.0.3",56352,"172.18.0.2",22,217,142,75,"19.9KB","11.8KB","8.1KB",flow
"Oct 24, 2022 @ 02:03:20.002","172.18.0.3",56352,"172.18.0.2",22,140,91,49,"12.9KB","7.5KB","5.4KB",flow
"Oct 24, 2022 @ 02:03:10.004","172.18.0.3",56352,"172.18.0.2",22,44,29,15,4KB,"2.4KB","1.6KB",flow
"Oct 24, 2022 @ 01:56:20.001","172.18.0.3",56352,"172.18.0.2",22,382,237,145,"38.8KB","19.6KB","19.2KB",flow
"Oct 24, 2022 @ 01:56:20.001","172.17.0.1",33858,"172.17.0.3",22,113,73,40,"10.2KB",6KB,"4.2KB",flow
"Oct 24, 2022 @ 01:56:10.002","172.18.0.3",56352,"172.18.0.2",22,382,237,145,"38.8KB","19.6KB","19.2KB",flow
"Oct 24, 2022 @ 01:56:10.002","172.17.0.1",33858,"172.17.0.3",22,113,73,40,"10.2KB",6KB,"4.2KB",flow
"Oct 24, 2022 @ 01:56:00.004","172.18.0.3",56352,"172.18.0.2",22,382,237,145,"38.8KB","19.6KB","19.2KB",flow
"Oct 24, 2022 @ 01:56:00.004","172.17.0.1",33858,"172.17.0.3",22,113,73,40,"10.2KB",6KB,"4.2KB",flow
"Oct 24, 2022 @ 01:55:50.003","172.18.0.3",56352,"172.18.0.2",22,382,237,145,"38.8KB","19.6KB","19.2KB",flow
